pid,label,creator,publisher,_date,format,clio,collection,citation,description
s1,"Last week, Chair & CEO Greg Russ... - New York City Housing Authority (NYCHA)",New York City Housing Authority,New York City Housing Authority,2021,video,,undesign,"“Chair-Greg-Russ.” Accessed December 7, 2020. https://www1.nyc.gov/site/nycha/about/board-members/chair-greg-russ.page.",
s2,"1968 Student Strike Ephemera, 1967 - 1972",,,1968,manuscript,,undesign,"1968 Student Strike Ephemera, 1967 - 1972, Box: 17. Alum Memorabilia, BC08-02. Barnard Archives and Special Collections",
s3,2019 NYC Citywide Evictions,ampitup,CARTO,2019,website,,environmental-racism,"“A Green New Deal for Housing.” Accessed June 29, 2021. 
https://jacobinmag.com/2019/02/green-new-deal-housing-ocasio-cortez-climate.",
s4,400 Years Timeline,,400 YEARS OF INEQUALITY,2019,website,,undesign,"400 YEARS OF INEQUALITY. “400 Years Timeline.” Accessed June 29, 2021. http://www.400yearsofinequality.org/400-years-timeline.html.",
s5,Teach-in on Columbia University's Gentrification of Harlem ft. speaker Brianna Sturkey,MAD Columbia,,2020,video,,undesign,"MAD Columbia. 7/30/2020 Teach-in on Columbia University’s Gentrification of Harlem
 Ft. Speaker Brianna Sturkey, 2020. https://www.youtube.com/watch?v=V-_DWKgSshI.",
s6,70 Acres in Chicago: Cabrini Green,Ronit Bezalel,,2017,video,https://clio.columbia.edu/catalog/12808568,undesign,"70 Acres in Chicago: Cabrini Green, 2017. https://www.newday.com/film/70-acres-chicago-cabrini-green.",
s7,A Covenant with Color: Race and Social Power in Brooklyn,"Wilder, Craig Steven",Columbia University Press ,2000,book,https://clio.columbia.edu/catalog/2832826,undesign,"Wilder, Craig Steven. A Covenant with Color: Race and Social Power in Brooklyn. New York, New York: Columbia University Press, 2000. ",
s8,A Green New Deal for Housing,Daniel Aldana Cohen,Jacobin,2019,website,,undesign,"Cohen, Daniel Aldana, D. “A Green New Deal for Housing."" Jacobin. August 02, 2019. https://jacobinmag.com/2019/02/green-new-deal-housing-ocasio-cortez-climate.",
s9,A Message from Multiple Cities,,Multiple Cities,,website,,undesign,"Multiple Cities. “A Message from Multiple Cities.” 
Accessed July 30, 2020. https://www.multiplecities.org/home/2020/6/10/a-message-from-multiple-cities.",
s10,"A Philly museum kept the bones of a Black child killed in a police bombing. Decades later, it’s apologizing.",,Washington Post,,article,,undesign,"“A Philly Museum Kept the Bones of a Black Child Killed in a Police Bombing. Decades Later,
 It’s Apologizing.” Washington Post. Accessed June 24, 2021. 
https://www.washingtonpost.com/nation/2021/04/30/philadelphia-move-bombing-bones-upenn/.",
s11,A Raisin in the Sun,Lorraine Hansberry,PlayBill,1959,book,https://clio.columbia.edu/catalog/8481533,undesign,"Hansberry, Lorraine. Playbill: A Raisin in the Sun. Playbill, 1959.",
s12,A Secret Meeting in South Bend | The United States of Anxiety,,WNYC Studios,,audio,,undesign,"“A Secret Meeting in South Bend | The United States of Anxiety.” WNYC Studios.
 Accessed June 29, 2021. https://www.wnycstudios.org/podcasts/anxiety/episodes/secret-meeting-south-bend.",
s13,"A synergism of plagues: ""planned shrinkage,"" contagious housing destruction, and AIDS in the Bronx.","Wallace, Richard B.",Environmental research,1988,article,,environmental-racism,"Wallace, Richard B. “A Synergism of Plagues: ‘Planned Shrinkage,’ Contagious Housing Destruction, and AIDS in the Bronx.” 
Environmental Research, 1988. https://doi.org/10.1016/S0013-9351(88)80018-5.",
s14,A Terrible Price: The Deadly Racial Disparities of Covid-19 in America,"Villarosa, Linda; Harris, L. Kasimu",The New York Times,2020,article,,land-use,"Villarosa, Linda, and L. Kasimu Harris. “‘A Terrible Price’: The Deadly Racial Disparities of Covid-19 in America.” 
The New York Times, May 20, 2020, sec. Magazine. https://www.nytimes.com/2020/04/29/magazine/racial-disparities-covid-19.html.",
s15,A world more concrete: real estate and the remaking of Jim Crow South Florida,"Connolly, N. D. B.",University of Chicago Press,2014,book,,undesign,"Connolly, N. D. B. A World More Concrete: Real Estate and the Remaking of Jim Crow South Florida. University of Chicago Press, 2014",
s16,ACTUP Oral History Project,,,,website,,undesign,"“ACTUP Oral History Project.” Accessed November 4, 2020. http://www.actuporalhistory.org/index1.html.",
s17,Against Black Homeownership,"Taylor, Keeanga-Yamahtta",Boston Review,2019,article,,undesign,"Taylor, Keeanga-Yamahtta. “Against Black Homeownership.” Boston Review, November 15, 2019. https://bostonreview.net/race/keeanga-yamahtta-taylor-against-black-homeownership.",
s18,Against The Artwashing of Boyle Heights A project by BHAAAD in collaboration with AEMP,,,,website,,undesign,"“Against The Artwashing of Boyle Heights A Project by BHAAAD in Collaboration with AEMP.” Accessed June 29, 2021. https://artwashing.antievictionmap.com/.",
s19,Anthology Film Archives : Film Screenings,,,,website,,undesign,"“Anthology Film Archives : Film Screenings.” Accessed June 29, 2021. http://anthologyfilmarchives.org/film_screenings/series/52767.",
s20,Anthology film series on housing (happening in October),,,,video,,undesign,"“Anthology Film Archives : Film Screenings.” Accessed June 29, 2021. http://anthologyfilmarchives.org/film_screenings/series/52767.",
s21,http://www.400yearsofinequality.org/400-years-timeline.html,,Hyperallergic,2015,website,,undesign,"Hyperallergic. “Artists and Activists Trace Boston’s Historic Red Line on the Streets,” September 22, 2015. https://hyperallergic.com/238667/artists-and-activists-trace-bostons-historic-red-line-on-the-streets/.",
s22,"As Rising Heat Bakes U.S. Cities, The Poor Often Feel It Most","Meg Anderson, Sean McMinn",NPR,2019,article,,environmental-racism,"Anderson, Meg, and Sean McMinn. 2019. “As Rising Heat Bakes U.S. Cities, The Poor Often Feel It Most.” NPR. NPR. September 3, 2019. https://www.npr.org/2019/09/03/754044732/as-rising-heat-bakes-u-s-cities-the-poor-often-feel-it-most.",
s23,Atlases,Rebecca Solnit,,,website,,undesign,"Solnit, Rebecca. 2021. ""Atlases."" http://rebeccasolnit.net/atlases/",
s24,June Jordan Audio Collection,June Jordan,,,audio,,undesign,"June Jordan Audio collection, 1970-2000. Schlesinger Library, Radcliffe Institute, Harvard University, Cambridge, Mass. https://id.lib.harvard.edu/ead/sch01211/catalog.",
s25,Black Bottom Archives,Black Bottom Archives,,2015,website,,undesign,Black Bottom Archives. 2015. http://www.blackbottomarchives.com.,
s26,Black Wealth/White Wealth: A New Perspective on Racial Inequality,"Melvin L. Oliver, Thomas M. Shapiro",Routledge,2006,book,https://clio.columbia.edu/catalog/5640373,undesign,"Oliver, Melvin L., and Thomas M. Shapiro. 2006. Black Wealth/White Wealth: A New Perspective on Racial Inequality. New York, NY: Routledge.",
s27,BREAKING: KC Tenants has blockaded the court entrance. 6 people have chained the doors. The people have closed court for today. Every eviction is an act of violence. #endevictions https://t.co/lkyn0vXosL,KC Tenants,@KCTenants,2020,blog post,,tenant-resistance,"KC Tenants (@KCTenants). 2020. “BREAKING: KC Tenants Has Blockaded the Court Entrance. 6 People Have Chained the Doors. The People Have Closed Court for Today. Every Eviction Is an Act of Violence. #endevictions https://T.Co/Lkyn0vXosL.” Twitter, October 15, 2020, 9:58 A.M. https://twitter.com/KCTenants/status/1316740143949250562.",
s28,"Brown Girl, Brownstones",Paule Marshall,Random House,1959,book,https://clio.columbia.edu/catalog/35574,undesign,"Marshall, Paule. 1959. Brown Girl, Brownstones. New York: Random House.",
s29,Buckminster Fuller and June Jordan. Side 1: Early 1970s. ,"June Jordan, Buckminster Fuller ",,,audio,,undesign,"Buckminster Fuller and Paul Owens. Side 1: Buckminster Fuller, early 1970s. June Jordan Audio Collection, 1970-2000, T-331; Phon-38; CD-13, 1. Schlesinger Library, Radcliffe Institute, Harvard University, Cambridge, Mass. https://sds.lib.harvard.edu/sds/audio/452513056.","Jordan speaks informally with Fuller about land use, working with students, solar and wind power projects, geodesic domes, and other topics."
s30,Building Justice: How to Undesign the Decades of Racial Redlining that Scar U.S. Cities,"April de Simone, Gregory Jost, Braden Crooks, Charles Chawalko",City Limits,2016,article,,undesign,"Simone, April de, Braden Crooks, Gregory Jost, and Charles Chawalko. 2016. “Building Justice: How to Undesign the Decades of Racial Redlining That Scar U.S. Cities.” City Limits, October 31, 2016. https://citylimits.org/2016/10/31/building-justice-how-to-undesign-the-decades-of-racial-redlining-that-scar-u-s-cities/.",
s31,Capital City: Gentrification and the Real Estate State,Samuel Stein,Verso,2019,book,https://clio.columbia.edu/catalog/13834585,undesign,"Stein, Samuel. 2019. Capital City: Gentrification and the Real Estate State. Jacobin Series. London ; Brooklyn, NY: Verso.",
s32,Carceral Capitalism,Jackie Wang,Semiotexte,2018,book,https://clio.columbia.edu/catalog/13218540,undesign,"Wang, Jackie. 2018. Carceral Capitalism. Semiotext(e) Intervention Series 21. South Pasadena, CA: Semiotext(e).",
s33,Caste: The Origins of Our Discontents,Isabel Wilkerson,Random House,2020,book,https://clio.columbia.edu/catalog/15220589,undesign,"Wilkerson, Isabel. 2020. Caste: The Origins of Our Discontents. First edition. New York: Random House.",
s34,Celebrating 50 Years of El Comité-MINP,Néstor David Pastor,The Latinx Project at NYU,,website,,tenant-organizing,"Pastor, Néstor David . 2021. “Celebrating 50 Years of El Comité-MINP.” Intervenxions (blog). January 26, 2021. https://www.latinxproject.nyu.edu/intervenxions/celebrating-50-years-of-el-comit-minp.",
s35,Mapping Historical New York City,Center for Spatial Research ,,,map,,undesign,Center for Spatial Research. 2018. “Mapping Historical New York City.” Center for Spatial Research. 2018. https://c4sr.columbia.edu/projects/mapping-historical-new-york-city.,
s36,CERO: Our Beginnings,"Cooperative Energy, Recycling, and Organics",,2013,video,,environmental-racism,"Creedon, Kelly, and Cooperative Energy, Recycling, and Organics. 2013. CERO: Our Beginnings. https://www.youtube.com/watch?v=_9C8WRKmmDE.",
s37,Chair Greg Russ,New York City Housing Authority,,,website,,undesign,New York City Housing Authority. n.d. “Chair Greg Russ.” https://www1.nyc.gov/site/nycha/about/board-members/chair-greg-russ.page.,
s38,Changing Face of Harlem,Shawn Batey ,,2014,video,,undesign,"Batey, Shawn, and Shaun Jaffier. 2014. Changing Face of Harlem. Third World Newsreel.",
s39,"Chapter One: How a Class Becomes a Community: Theory, Method, Examples",Cathy Davidson,HASTAC,2013,blog post,,undesign,"Davidson, Cathy. 2013. “Chapter One: How a Class Becomes a Community: Theory, Method, Examples.” HASTAC (blog). August 1, 2013. https://www.hastac.org/blogs/cathy-davidson/2013/08/01/chapter-one-how-class-becomes-community-theory-method-examples.",
s40,Chicago - Gentrification and Displacement ,Urban Displacement Project,,,website,,undesign,Urban Displacement Project. n.d. “Chicago - Gentrification and Displacement.” Urban Displacement Project. https://www.urbandisplacement.org/chicago/chicago-gentrification-and-displacement.,
s41,Choosing a School for My Daughter in a Segregated City,"Hannah-Jones, Nikole",The New York Times,2016,article,,undesign,"Hannah-Jones, Nikole. 2016. “Choosing a School for My Daughter in a Segregated City.” The New York Times, June 9, 2016, sec. Magazine. https://www.nytimes.com/2016/06/12/magazine/choosing-a-school-for-my-daughter-in-a-segregated-city.html.",
s42,"Christiane C. Collins Collection of the West Harlem Coalition for Morningside Park and Urban Problems of the Contiguous Communities: West Harlem, Manhattan Valley, Morningside Heights and Manhattanville: Finding Aid","Collins, Christiane C",,1961,manuscript,,tenant-resistance,"Christiane C. Collins collection of the West Harlem Coalition for Morningside Park and Urban Problems of the Contiguous Communities: West Harlem, Manhattan Valley, Morningside Heights and Manhattanville 1941-1996 [bulk 1968-1973] [finding aid]. Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division, New York, NY. http://archives.nypl.org/scm/20875 ",
s43,"Cities for People, Not for Profit: Gentrification and Housing Activism in Bushwick, NY",Cynthia Tobar,"Cities for People, Not for Profit: Gentrification and Housing Activism in Bushwick, NY",,website,,undesign,"Tobar, Cynthia. 2016. Cities for People, Not for Profit. 2016. http://citiesforppl.org/.",
s44,Citizens Alliance 1980-1983 records,Citizens Alliance,"Manuscripts and Archives Division, New York Public Library, New York.",1980-1983,manuscript,,undesign,"Citizens Alliance 1980-1983. Box 53, Folder 1, Series V. Gene Russianoff Files, NYPIRG Straphangers Campaign records 1962-2007. Manuscripts and Archives Division, New York Public Library, New York.","According to the NYPL finding aid, ""Citizens Alliance was a project of NYPIRG to organize citizens around various issues, including bank redlining and environmental concerns."""
s45,Co-Op City,Oksana Mironova,Urban Omnibus,2019,article,,undesign,"Mironova, Oksana. 2019. “Co-Op City.” Urban Omnibus, May 2, 2019. https://urbanomnibus.net/2019/05/co-op-city/.",
s46,Coalition Against Gentrification: Raising consciousness about Columbia's impact on the surrounding community,Columbia Student Coalition Against Gentrification (CAGe),Columbia Student Coalition Against Gentrification (CAGe),2014,website,,undesign,"“Coalition Against Gentrification.” n.d. Coalition Against Gentrification. Accessed August 24, 2021. https://coalitionagainstgentrification.wordpress.com/.",
s47,Columbia's Future - The Challenge of Expansion,William D. Schwartz,Columbia Spectator,1962,article,,undesign,"Schwartz, William D. 1962. “Columbia’s Future - The Challenge of Expansion.” Columbia Spectator, May 14, 1962.",
s48,All Property In Superblock Now Acquired,Stanford S. Sesser and Donald H. Shapiro,Columbia Spectator,1963,article,,undesign,"Sesser, Stanford S., and Donald H. Shapiro. 1963. “All Property In Superblock Now Acquired.” Columbia Spectator, October 28, 1963.",
s49,Columbia University’s Heights: An Ivory Tower and Its Communities ,Peter Marcuse and Cuz Potter,Lincoln Institute of Land Policy & M.E. Sharpe,2005,book chapter,https://clio.columbia.edu/catalog/5970242?counter=1,undesign,"Marcuse, Peter, and Cuz Potter. 2005. “Columbia University’s Heights : An Ivory Tower and Its Communities.” In The University as Urban Developer: Case Studies and Analysis, edited by David C. Perry, Wim Wiewel, and Lincoln Institute of Land Policy, 45–64. Cities and Contemporary Society. Cambridge, Mass. : Armonk, N.Y: Lincoln Institute of Land Policy ; M.E. Sharpe.",
s50,Community Futurisms: Time & Memory in North Philly 001 - Community Futures Lab,Black Quantum Futurism,Black Quantum Futurism,2020,website,,undesign,"“Community Futurisms: Time & Memory in North Philly 001 - Community Futures Lab.” 2020. Black Quantum Futurism. 2020. https://www.blackquantumfuturism.com/community-futurisms.
",
s51,"Conflict of Interests, Law Enforcement, and Social Change: A Case Study of Squatters on Morningside Heights. ",Mary Anne Brotherton,Fordham University,1974,manuscript,,undesign,"Brotherton, Mary Anne. 1974. “Conflict of Interests, Law Enforcement, and Social Change: A Case Study of Squatters on Morningside Heights.” PhD diss., Fordham University. ",
s52,Cooperative Home Care Associates,Cooperative Home Care Associates,Cooperative Home Care Associates,2021,website,,undesign,“Cooperative Home Care Associates.” 2021. http://www.chcany.org/.,
s53,Corporate Windfalls or Social Housing Conversions? The looming mortgage crisis and the choices facing New York,"Celeste Hornbach, Oksana Mironova, Samuel Stein, and Jacob Udell.",Community Service Society,2020,report,,undesign,"Hornbach, Celeste, Oksana Mironova, Samuel Stein, and Jacob Udell. 2020. “Corporate Windfalls or Social Housing Conversions? The Looming Mortgage Crisis and the Choices Facing New York.” New York: Community Service Society. https://www.cssny.org/publications/entry/corporate-windfalls-or-social-housing-conversions.",
s54,COVID-19 and Hospital Closures in NYC,ANHD,CARTO,2020,map,,land-use,"Association for Neighborhood and Housing Development. 2002. “COVID-19 and Hospital Closures in NYC.” April 9, 2002. https://anhdnyc.carto.com/builder/a7317489-9c2b-4e48-9f7e-e0cf8f30e415/embed.
",
s55,Covid-19 has exposed the consequences of decades of bad public housing policy,Gillet Gardner Rosenblith,Washington Post,2020,article,,land-use,"Rosenblith, Gillet Gardner. 2020. “Covid-19 Has Exposed the Consequences of Decades of Bad Public Housing Policy.” Washington Post, September 8, 2020. https://www.washingtonpost.com/outlook/2020/09/08/covid-19-has-exposed-consequences-decades-bad-public-housing-policy/.",
s56,Dawoud Bey: Seeing Deeply,Dawoud Bey,University of Texas Press,2018,book,https://clio.columbia.edu/catalog/13537327?counter=1,undesign,"Bey, Dawoud. 2018. Dawoud Bey: Seeing Deeply. Austin, TX: University of Texas Press.",
s57,The 1904 Blennerhasset Apartments - 507-511 West 111th Street,Tom Miller,Daytonian in Manhattan,2020,blog post,,undesign,"Miller, Tom. 2020. “The 1904 Blennerhasset Apartments - 507-511 West 111th Street.” Daytonian in Manhattan (blog). March 21, 2020. http://daytoninmanhattan.blogspot.com/2020/03/the-1904-blennerhasset-apartments-507.html.",
s58,De Fremery Park and Recreation Center West Oakland - FoundSF,Chance Grable,FoundSF,2015,article,,undesign,"Grable, Chance. 2015. “De Fremery Park and Recreation Center West Oakland.” FoundSF. 2015. https://www.foundsf.org/index.php?title=De_Fremery_Park_and_Recreation_Center_West_Oakland.",
s59,Decade of Fire,"Vivian Vázquez Irizarry, Gretchen Hildebran, Julia Steele Allen, Neyda Martinez, Edwin Martinez, Arturo Ortiz, Sonia González-Martínez, and Penelope Falk ",Red Nut Films,2019,video,https://clio.columbia.edu/catalog?f%5B-format%5D%5B%5D=FOIA+Document&f%5Bformat%5D%5B%5D=Video&q=%22decade+of+fire%22&search_field=all_fields,undesign,"Vázquez Irizarry, Vivian, Gretchen Hildebran, Julia Steele Allen, Neyda Martinez, Edwin Martinez, Arturo Ortiz, Sonia González-Martínez, and Penelope Falk. 2019. Decade of Fire. Brooklyn, New York: Red Nut Films.",
s60,Detroit 48202: Conversations along a Postal Route,Pam Sporn,Grito Productions,2018,video,https://clio.columbia.edu/catalog?q=%22Detroit+48202%22&f%5B-format%5D%5B%5D=FOIA+Document&f%5Bformat%5D%5B%5D=Video&search_field=all_fields&commit=Search,undesign,"Sporn, Pam, Kathryn Barnier, Jim MacDonald, Amilca Palmer, Tom Phillips, and Wendell Watkins. 2018. Detroit 48202: Conversations along a Postal Route. United States: Grito Productions.",
s61,"Discrimination, Documented",Urban Omnibus,Urban Omnibus,2017,article,,undesign,"Urban Omnibus. 2017. “Discrimination, Documented.” Urban Omnibus, March 22, 2017. https://urbanomnibus.net/2017/03/brass-tacks-discrimination-documented/.",
s62,"Documenting Crossroads: The Coronavirus in Poor, Minority Communities",Camilo José Vergara with Chrysanthe Broikos,National Building Museum,2020,blog post,,undesign,"Vergara, Camilo José, and Chrysanthe Broikos. 2020. “Documenting Crossroads: The Coronavirus in Poor, Minority Communities.” National Building Museum. 2020. https://www.nbm.org/exhibition/documenting-crossroads/.",
s63,Does My Neighborhood Determine My Future?,Vox,Vox,2021,video,,undesign,Vox. 2021. Does My Neighborhood Determine My Future? Glad You Asked. https://www.youtube.com/watch?v=pu2sKNJMH-k.,
s64,"East Hollywood Panel Series. Past: Redlining, Internment, and Resilience",East Hollywood Neighborhood Council,East Hollywood Neighborhood Council,2021,video,,undesign,"East Hollywood Neighborhood Council. 2021. East Hollywood Panel Series. Past: Redlining, Internment, and Resilience. https://www.youtube.com/watch?v=JNFUoDO943o.",
s65,East NY Oral History Project,Sarita Daftary-Steel,Sarita Daftary-Steel,n.d.,website,,undesign,"Daftary-Steel, Sarita. n.d. “East NY Oral History Project.” Accessed August 25, 2021. http://eastnewyorkoralhistory.org.",
s66,El Comité-MINP 50th Anniversary - Day of Commemoration and Dialogue,The People's Forum NYC,The People's Forum NYC,2020,video,,undesign,"The People’s Forum NYC. El Comité-MINP 50th Anniversary - Day of Commemoration and Dialogue, 2020. https://www.youtube.com/watch?v=rumdYR58C34.",
